Output File                                                    Name                                 Type        FSH File                                         Lines
StructureDefinition-CoverageKOrderCz.json                      LogEnCoverageKOrderCz                Logical     model\coverageKOrder-en.fsh                      1 - 15
StructureDefinition-DigitalSignatureKOrderCz.json              LogEnDigitalSignatureKOrderCz        Logical     model\signatureKOrder-en.fsh                     1 - 9
StructureDefinition-DocumentMetadataKOrderCz.json              LogEnDocumentMetadataKOrderCz        Logical     model\metadataKOrder-en.fsh                      1 - 14
StructureDefinition-FTOrderCompositionCz.json                  FTOrderCompositionCz                 Profile     profiles\composition-FT-Order.fsh                1 - 157
StructureDefinition-FTServiceRequestCz.json                    FTServiceRequestCz                   Profile     profiles\serviceRequest-FT-Order.fsh             1 - 123
StructureDefinition-KOrderCompositionCz.json                   KOrderCompositionCz                  Profile     profiles\composition-K-Order.fsh                 1 - 211
StructureDefinition-KOrderConditionCz.json                     KOrderConditionCz                    Profile     profiles\condition-K-Order.fsh                   1 - 48
StructureDefinition-KOrderHeader.json                          LogEnKOrderHeaderCz                  Logical     model\headerKOrder-en.fsh                        1 - 15
StructureDefinition-KOrderServiceRequestCz.json                KOrderServiceRequestCz               Profile     profiles\serviceRequest-K-Order.fsh              1 - 118
StructureDefinition-LMAdditionalRecipientCz.json               LMCzAdditionalRecipientOrderCz       Logical     czech-model\A.1.7_additionalRecipient-cz.fsh     1 - 11
StructureDefinition-LMAppointmentCz.json                       LMCzAppointmentCz                    Logical     czech-model\A.2.5_appointment-cz.fsh             2 - 17
StructureDefinition-LMAttachmentsOrderCz.json                  LMCzAttachmentsCz                    Logical     czech-model\A.5_attachment-cz.fsh                2 - 12
StructureDefinition-LMAuthorOrderCz.json                       LMCzKAuthorOrderCz                   Logical     czech-model\A.1.5_authorOrder-cz.fsh             1 - 11
StructureDefinition-LMBodyFTOrder.json                         LMCzBodyFTOrderCz                    Logical     czech-model\A.2_A.3_bodyFTOrder-cz.fsh           1 - 31
StructureDefinition-LMBodyKOrder.json                          LMCzBodyKOrderCz                     Logical     czech-model\A.2_A.3_bodyKOrder-cz.fsh            1 - 31
StructureDefinition-LMClinicalEventCz.json                     LMCzClinicalEventCz                  Logical     czech-model\A.2.3_clinicalEvent-cz.fsh           1 - 10
StructureDefinition-LMClinicalInformationCz.json               LMCzOrderClinicalInformationCz       Logical     czech-model\A.3.1_clinicalInformation-cz.fsh     1 - 36
StructureDefinition-LMCoverageBodyCz.json                      LMCzCoverageBodyCz                   Logical     czech-model\A.2.4_coverage-cz.fsh                1 - 16
StructureDefinition-LMCoverageOrderCz.json                     LMCzCoverageOrderCz                  Logical     czech-model\A.1.4_coverageOrder-cz.fsh           1 - 17
StructureDefinition-LMDigitalSignatureOrderCz.json             LMCzDigitalSignatureOrderCz          Logical     czech-model\A.1.9_signatureOrder-cz.fsh          1 - 9
StructureDefinition-LMDocumentMetadataCz.json                  LMCzDocumentMetadataOrderCz          Logical     czech-model\A.1.8_metadataOrder-cz.fsh           1 - 14
StructureDefinition-LMEnAdditionalRecipientCz.json             LMEnAdditionalRecipientOrderCz       Logical     en-model\A.1.7_additionalRecipient-en.fsh        1 - 11
StructureDefinition-LMEnAppointmentCz.json                     LMEnAppointmentCz                    Logical     en-model\A.2.5_appointment-en.fsh                1 - 15
StructureDefinition-LMEnAttachmentsOrderCz.json                LMEnAttachmentsCz                    Logical     en-model\A.5_attachment-en.fsh                   1 - 11
StructureDefinition-LMEnAuthorOrderCz.json                     LMEnKAuthorOrderCz                   Logical     en-model\A.1.5_authorOrder-en.fsh                1 - 11
StructureDefinition-LMEnBodyFTOrder.json                       LMEnBodyFTOrderCz                    Logical     en-model\A.2_A.3_bodyFTOrder-en.fsh              1 - 31
StructureDefinition-LMEnBodyKOrder.json                        LMEnBodyKOrderCz                     Logical     en-model\A.2_A.3_bodyKOrder-en.fsh               1 - 18
StructureDefinition-LMEnClinicalEventCz.json                   LMEnClinicalEventCz                  Logical     en-model\A.2.3_clinicalEvent-en.fsh              1 - 10
StructureDefinition-LMEnClinicalInformationCz.json             LMEnOrderClinicalInformationCz       Logical     en-model\A.3.1_clinicalInformation-en.fsh        1 - 36
StructureDefinition-LMEnCoverageBodyCz.json                    LMEnCoverageBodyCz                   Logical     en-model\A.2.4_coverage-en.fsh                   1 - 16
StructureDefinition-LMEnCoverageOrderCz.json                   LMEnCoverageOrderCz                  Logical     en-model\A.1.4_coverageOrder-en.fsh              1 - 15
StructureDefinition-LMEnDigitalSignatureOrderCz.json           LMEnDigitalSignatureOrderCz          Logical     en-model\A.1.9_signatureOrder-en.fsh             1 - 9
StructureDefinition-LMEnDocumentMetadataCz.json                LMEnDocumentMetadataOrderCz          Logical     en-model\A.1.8_metadataOrder-en.fsh              1 - 14
StructureDefinition-LMEnFTOrderDataElementsCz.json             LMEnFTOrderDataElementsCz            Logical     en-model\A.3.2_dataElementFTOrder-en.fsh         1 - 9
StructureDefinition-LMEnHeaderOrder.json                       LMEnHeaderOrderCz                    Logical     en-model\A.1_headerOrder-en.fsh                  1 - 15
StructureDefinition-LMEnKOrderDataElementsCz.json              LMEnKOrderDataElementsCz             Logical     en-model\A.3.2_dataElementKOrder-en.fsh          1 - 17
StructureDefinition-LMEnOrderInformationCz.json                LMEnOrderInformationCz               Logical     en-model\A.2.1_A.2.2_OrderInformation-en.fsh     1 - 22
StructureDefinition-LMEnPayerOrderCz.json                      LMEnPayerOrderCz                     Logical     en-model\A.1.3_payerOrder-en.fsh                 1 - 10
StructureDefinition-LMEnPresentedFormOrderCz.json              LMEnPresentedFormCz                  Logical     en-model\A.4_presentedForm-en.fsh                1 - 12
StructureDefinition-LMEnPresentedFormOrderCzOUT.json           LMEnPresentedFormCzOUT               Logical     model\presentedFormKOrder-en.fsh                 1 - 12
StructureDefinition-LMEnRequestedPerformerOrderCz.json         LMEnRequestedPerformerOrderCz        Logical     en-model\A.1.6_perfomerOrder-en.fsh              1 - 11
StructureDefinition-LMEnSubjectOrderCz.json                    LMEnSubjectOrderCz                   Logical     en-model\A.1.1_A.1.2_subjektOrder-en.fsh         1 - 36
StructureDefinition-LMFTOrderDataElementsCz.json               LMCzFTOrderDataElementsCz            Logical     czech-model\A.3.2_dataElementFTOrder-cz.fsh      1 - 9
StructureDefinition-LMHeaderOrder.json                         LMCzHeaderOrderCz                    Logical     czech-model\A.1_headerOrder-cz.fsh               1 - 13
StructureDefinition-LMKOrderDataElementsCz.json                LMCzKOrderDataElementsCz             Logical     czech-model\A.3.2_dataElementKOrder-cz.fsh       1 - 9
StructureDefinition-LMOrderInformationCz.json                  LMCzOrderInformationCz               Logical     czech-model\A.2.1_A.2.2_OrderInformation-cz.fsh  1 - 26
StructureDefinition-LMPayerOrderCz.json                        LMCzPayerOrderCz                     Logical     czech-model\A.1.3_payerOrder-cz.fsh              1 - 10
StructureDefinition-LMPresentedFormOrderCz.json                LMCzPresentedFormOrderCz             Logical     czech-model\A.4_presentedForm-cz.fsh             1 - 12
StructureDefinition-LMRequestedPerformerOrderCz.json           LMCzRequestedPerformerOrderCz        Logical     czech-model\A.1.6_perfomerOrder-cz.fsh           1 - 11
StructureDefinition-LMSubjectOrderCz.json                      LMCzSubjectOrderCz                   Logical     czech-model\A.1.1_subjektOrder-cz.fsh            2 - 37
StructureDefinition-LogAdditionalRecipientKCz.json             LogCzAdditionalRecipientKOrder       Logical     model\additionalRecipient-cz.fsh                 1 - 11
StructureDefinition-LogAuthorKCz.json                          LogCzAuthorKOrderCz                  Logical     model\authorKOrder-cz.fsh                        1 - 11
StructureDefinition-LogCoverageKOrderCz.json                   LogCzCoverageKOrderCz                Logical     model\coverageKOrder-cz.fsh                      1 - 15
StructureDefinition-LogCzKOrder.json                           LogCzKOrder                          Logical     model\log-model-cz.fsh                           1 - 77
StructureDefinition-LogDigitalSignatureKCz.json                LogCzDigitalSignatureKOrderCz        Logical     model\signatureKOrder-cz.fsh                     1 - 9
StructureDefinition-LogDocumentMetadataKCz.json                LogCzDocumentMetadataKOrderCz        Logical     model\metadataKOrder-cz.fsh                      1 - 14
StructureDefinition-LogKOrderEn.json                           LogKOrderEn                          Logical     model\log-model-en.fsh                           1 - 82
StructureDefinition-LogPayerKOrderCz.json                      LogCzPayerKOrderCz                   Logical     model\payerKOrder-cz.fsh                         1 - 10
StructureDefinition-LogRequestedPerformerKCz.json              LogCzRequestedPerformerKOrderCz      Logical     model\perfomerKOrder-cz.fsh                      1 - 11
StructureDefinition-LogSubjectKOrderCz.json                    LogCzSubjectKOrderCz                 Logical     model\subjektKOrder-cz.fsh                       2 - 37
StructureDefinition-PayerKOrderCz.json                         LogEnPayerOrderKOrderCz              Logical     model\payerOrder-en.fsh                          1 - 10
StructureDefinition-RequestedPerformerKOrderCz.json            LogEnRequestedPerformerKOrderCz      Logical     model\performerKOrder-en.fsh                     1 - 11
StructureDefinition-SubjectKOrderCz.json                       LogEnSubjectKOrderCz                 Logical     model\subjectKOrder-en.fsh                       1 - 36
StructureDefinition-cz-order-recommendation-disposition.json   CzKOrderRecommendationDisposition    Extension   profiles\serviceRequest-K-Order.fsh              121 - 131
StructureDefinition-ftorder-composition-requestReference.json  FTOrderRequestReference              Extension   profiles\composition-FT-Order.fsh                164 - 172
StructureDefinition-korder-composition-requestReference.json   KOrderRequestReference               Extension   profiles\composition-K-Order.fsh                 215 - 223
StructureDefinition-logAdditionalClinicalInfoKOrder.json       LogCzAdditionalClinicalInfoKOrderCz  Logical     model\additionalInfoKOrder-cz.fsh                1 - 20
StructureDefinition-logAdditionalClinicalInfoKOrderCz.json     LogEnAdditionalClinicalInfoKOrderCZ  Logical     model\additionalInfoKOrder-en.fsh                1 - 20
StructureDefinition-logAttachmentsKOrderCz.json                LogCzAttachmentsCz                   Logical     model\attachmentKOrder-cz.fsh                    2 - 14
StructureDefinition-logBodyFTOrder.json                        LogCzBodyFTOrderCz                   Logical     model\bodyFTOrder-cz.fsh                         1 - 28
StructureDefinition-logBodyKOrder.json                         LogCzBodyKOrderCz                    Logical     model\bodyKOrder-cz.fsh                          1 - 28
StructureDefinition-logClinicalReasonKOrder.json               LogCzClinicalReasonKOrderCz          Logical     model\clinicalReasonKOrder-cz.fsh                1 - 9
StructureDefinition-logEnBodyKOrder.json                       LogEnBodyKOrder                      Logical     model\bodyKOrder-en.fsh                          1 - 30
StructureDefinition-logEnClinicalReasonKOrder.json             LogEnClinicalReasonKOrderCZ          Logical     model\clinicalReasonKOrder-en.fsh                1 - 9
StructureDefinition-logEnRecommendationKOrder.json             LogEnRecommendationKOrder            Logical     model\recommendationKOrder-en.fsh                1 - 13
StructureDefinition-logEnRequestedServiceKOrder.json           LogEnRequestedServiceKOrder          Logical     model\requestServiceKOrder-en.fsh                1 - 17
StructureDefinition-logFTSpecificOrder.json                    LogCzFTSpecificFTOrder               Logical     model\specificFTOrder-cz.fsh                     1 - 66
StructureDefinition-logHeaderKOrder.json                       LogCzHeaderKOrderCz                  Logical     model\headerKOrder-cz.fsh                        1 - 13
StructureDefinition-logKOrderInformation.json                  LogEnKOrderInformationCz             Logical     model\informationsKOrder-en.fsh                  1 - 22
StructureDefinition-logKOrderInformationCz.json                LogCzKOrderInformationCz             Logical     model\informationsKOrder-cz.fsh                  2 - 24
StructureDefinition-logPresentedFormOrderCzOUT.json            LogCzPresentedFormCz                 Logical     model\presentedFormKOrder-cz.fsh                 1 - 12
StructureDefinition-logRecommendationKOrder.json               LogCzRecommendationKOrderCz          Logical     model\recommendationKOrder-cz.fsh                1 - 11
StructureDefinition-logRequestedServiceKOrder.json             LogCzRequestedServiceKOrderCz        Logical     model\requestServiceKOrder-cz.fsh                1 - 14
ValueSet-cz-diagnosis-condition-vs.json                        CZ_DiagnosisConditionVs              ValueSet    value-sets\KOrderDiagnosisConditionVS.fsh        1 - 8
ValueSet-ft-category-vs.json                                   FTOrderCategoryVS                    ValueSet    value-sets\FTOrderCategoryVS.fsh                 1 - 7
ValueSet-ft-vzp-procedures-vs.json                             FTOrderProceduresVS                  ValueSet    value-sets\FTOrderProceduresVS.fsh               1 - 7
ValueSet-korder-category-vs.json                               KOrderCategoryVS                     ValueSet    value-sets\KOrderCategoryVS.fsh                  1 - 7
ValueSet-korder-priority-vs.json                               KOrderPriorityVS                     ValueSet    value-sets\KOrderPriorityVS.fsh                  1 - 17
ValueSet-korder-procedures-vs.json                             KOrderProceduresVS                   ValueSet    value-sets\KOrderProceduresVS.fsh                1 - 7
ValueSet-korder-recommendation-disposition-vs.json             KOrderRecommendationDispositionVS    ValueSet    value-sets\KOrderRecommendationVS.fsh            1 - 4
ValueSet-korder-type-vs.json                                   KOrderTypeVS                         ValueSet    value-sets\KOrderTypeOrderVS.fsh                 1 - 7
ValueSet-vzp-nahrady-vs.json                                   VzpNahradyVS                         ValueSet    value-sets\KorderReplacementVS.fsh               1 - 5
